,Pitch Type,stand,Number of Pitches
0,ALL,ALL,278057.0
1,ALL,RHB,158517.0
2,ALL,LHB,119540.0
3,FF,ALL,96669.0
4,FF,RHB,53104.0
5,FF,LHB,43565.0
6,SL,ALL,47343.0
7,SL,RHB,30653.0
8,SL,LHB,16690.0
9,CU,ALL,23287.0
10,CU,RHB,12827.0
11,CU,LHB,10460.0
12,CH,ALL,32072.0
13,CH,RHB,16006.0
14,CH,LHB,16066.0
15,FS,ALL,5023.0
16,FS,RHB,1849.0
17,FS,LHB,3174.0
18,SI,ALL,43418.0
19,SI,RHB,26391.0
20,SI,LHB,17027.0
21,ST,ALL,2331.0
22,ST,RHB,1671.0
23,ST,LHB,660.0
24,KC,ALL,7439.0
25,KC,RHB,3862.0
26,KC,LHB,3577.0
27,FC,ALL,19209.0
28,FC,RHB,11468.0
29,FC,LHB,7741.0
30,SV,ALL,753.0
31,SV,RHB,448.0
32,SV,LHB,305.0
33,FA,ALL,293.0
34,FA,RHB,157.0
35,FA,LHB,136.0
