,Pitch Type,stand,Number of Pitches
0,ALL,ALL,372087.0
1,ALL,RHB,216517.0
2,ALL,LHB,155570.0
3,FF,ALL,136075.0
4,FF,RHB,76606.0
5,FF,LHB,59469.0
6,SL,ALL,58070.0
7,SL,RHB,37964.0
8,SL,LHB,20106.0
9,CU,ALL,31594.0
10,CU,RHB,17595.0
11,CU,LHB,13999.0
12,CH,ALL,41286.0
13,CH,RHB,21152.0
14,CH,LHB,20134.0
15,FS,ALL,5553.0
16,FS,RHB,2101.0
17,FS,LHB,3452.0
18,SI,ALL,61917.0
19,SI,RHB,37964.0
20,SI,LHB,23953.0
21,ST,ALL,2671.0
22,ST,RHB,1954.0
23,ST,LHB,717.0
24,KC,ALL,8715.0
25,KC,RHB,4732.0
26,KC,LHB,3983.0
27,FC,ALL,24928.0
28,FC,RHB,15678.0
29,FC,LHB,9250.0
30,SV,ALL,1020.0
31,SV,RHB,627.0
32,SV,LHB,393.0
33,FA,ALL,108.0
34,FA,RHB,60.0
35,FA,LHB,48.0
