,Pitch Type,stand,Number of Pitches
0,ALL,ALL,741147.0
1,ALL,RHB,438709.0
2,ALL,LHB,302438.0
3,FF,ALL,262617.0
4,FF,RHB,149841.0
5,FF,LHB,112776.0
6,SL,ALL,131908.0
7,SL,RHB,88721.0
8,SL,LHB,43187.0
9,CU,ALL,56727.0
10,CU,RHB,30524.0
11,CU,LHB,26203.0
12,CH,ALL,83423.0
13,CH,RHB,44149.0
14,CH,LHB,39274.0
15,FS,ALL,11869.0
16,FS,RHB,4529.0
17,FS,LHB,7340.0
18,SI,ALL,113342.0
19,SI,RHB,72865.0
20,SI,LHB,40477.0
21,ST,ALL,9496.0
22,ST,RHB,6547.0
23,ST,LHB,2949.0
24,KC,ALL,16249.0
25,KC,RHB,8472.0
26,KC,LHB,7777.0
27,FC,ALL,51462.0
28,FC,RHB,30642.0
29,FC,LHB,20820.0
30,SV,ALL,2843.0
31,SV,RHB,1718.0
32,SV,LHB,1125.0
33,FA,ALL,826.0
34,FA,RHB,499.0
35,FA,LHB,327.0
