,Pitch Type,stand,Number of Pitches
0,ALL,ALL,744143.0
1,ALL,RHB,446016.0
2,ALL,LHB,298127.0
3,FF,ALL,247782.0
4,FF,RHB,141962.0
5,FF,LHB,105820.0
6,SL,ALL,129085.0
7,SL,RHB,88735.0
8,SL,LHB,40350.0
9,CU,ALL,56449.0
10,CU,RHB,31142.0
11,CU,LHB,25307.0
12,CH,ALL,83355.0
13,CH,RHB,42992.0
14,CH,LHB,40363.0
15,FS,ALL,11629.0
16,FS,RHB,4727.0
17,FS,LHB,6902.0
18,SI,ALL,114854.0
19,SI,RHB,76139.0
20,SI,LHB,38715.0
21,ST,ALL,25567.0
22,ST,RHB,17988.0
23,ST,LHB,7579.0
24,KC,ALL,17078.0
25,KC,RHB,8512.0
26,KC,LHB,8566.0
27,FC,ALL,53835.0
28,FC,RHB,31068.0
29,FC,LHB,22767.0
30,SV,ALL,2557.0
31,SV,RHB,1625.0
32,SV,LHB,932.0
33,FA,ALL,1268.0
34,FA,RHB,752.0
35,FA,LHB,516.0
