,Pitch Type,stand,Number of Pitches
0,ALL,ALL,749626.0
1,ALL,RHB,437117.0
2,ALL,LHB,312509.0
3,FF,ALL,241966.0
4,FF,RHB,133659.0
5,FF,LHB,108307.0
6,SL,ALL,127531.0
7,SL,RHB,83425.0
8,SL,LHB,44106.0
9,CU,ALL,51338.0
10,CU,RHB,27000.0
11,CU,LHB,24338.0
12,CH,ALL,81564.0
13,CH,RHB,41428.0
14,CH,LHB,40136.0
15,FS,ALL,16904.0
16,FS,RHB,6690.0
17,FS,LHB,10214.0
18,SI,ALL,114901.0
19,SI,RHB,76938.0
20,SI,LHB,37963.0
21,ST,ALL,36861.0
22,ST,RHB,25101.0
23,ST,LHB,11760.0
24,KC,ALL,14769.0
25,KC,RHB,7640.0
26,KC,LHB,7129.0
27,FC,ALL,58534.0
28,FC,RHB,32185.0
29,FC,LHB,26349.0
30,SV,ALL,2450.0
31,SV,RHB,1496.0
32,SV,LHB,954.0
33,FA,ALL,1125.0
34,FA,RHB,646.0
35,FA,LHB,479.0
