,Pitch Type,stand,Number of Pitches
0,ALL,ALL,715263.0
1,ALL,RHB,418391.0
2,ALL,LHB,296872.0
3,FF,ALL,252696.0
4,FF,RHB,146791.0
5,FF,LHB,105905.0
6,SL,ALL,103832.0
7,SL,RHB,69616.0
8,SL,LHB,34216.0
9,CU,ALL,54733.0
10,CU,RHB,29673.0
11,CU,LHB,25060.0
12,CH,ALL,71223.0
13,CH,RHB,36795.0
14,CH,LHB,34428.0
15,FS,ALL,11852.0
16,FS,RHB,5373.0
17,FS,LHB,6479.0
18,SI,ALL,152406.0
19,SI,RHB,89367.0
20,SI,LHB,63039.0
21,ST,ALL,3217.0
22,ST,RHB,1996.0
23,ST,LHB,1221.0
24,KC,ALL,22494.0
25,KC,RHB,12767.0
26,KC,LHB,9727.0
27,FC,ALL,39519.0
28,FC,RHB,24113.0
29,FC,LHB,15406.0
30,SV,ALL,1967.0
31,SV,RHB,1177.0
32,SV,LHB,790.0
33,FA,ALL,59.0
34,FA,RHB,29.0
35,FA,LHB,30.0
